school_year,system_id,school_name,measure_1a_points,measure_1c_points,measure_1d_points,measure_1e_points,measure_2a_points,measure_2b_points,financial_section_toal,designation
2019-2020,7830623,Academy for Classical Education,15,15,10,10,15,0,80,Meets
2020-2021,7820120,Georgia Cyber Academy,15,15,15,10,15,15,100,Meets
2021-2022,7830620,International Charter Academy of Georgia,15,0,10,10,15,15,80,Meets
2021-2022,7830636,Northwest Classical Academy,15,15,15,10,15,15,100,Meets
2022-2023,7830611,Cirrus Academy Charter School,15,0,10,10,15,15,80,Meets
2022-2023,7830310,Fulton Leadership Academy,15,0,10,10,15,0,60,Does Not Meet
2021-2022,7830618,SAIL Charter Academy - School for Arts-Infused Learning,15,10,0,10,15,0,65,Does Not Meet
2019-2020,7820614,International Charter School of Atlanta,15,10,15,10,15,15,95,Meets
2019-2020,7830621,SLAM Academy of Atlanta,15,0,10,10,15,15,80,Meets
2020-2021,7830210,Pataula Charter Academy,15,15,10,10,15,15,95,Meets
2020-2021,7830632,Atlanta Unbound Academy,15,15,15,10,15,15,100,Meets
2019-2020,7830103,Statesboro STEAM Academy,15,10,15,10,10,15,90,Meets
2020-2021,7820212,Cherokee Charter Academy,15,15,15,10,10,15,95,Meets
2019-2020,7820212,Cherokee Charter Academy,15,0,15,10,10,15,80,Meets
2021-2022,7820121,Utopian Academy for the Arts Charter School,15,10,15,10,15,15,90,Meets
2020-2021,7830619,International Academy of Smyrna,15,15,0,10,15,0,70,Approaches
2021-2022,7820212,Cherokee Charter Academy,15,10,0,10,15,15,80,Meets
2019-2020,7820617,DuBois Integrity Academy,15,15,0,10,15,15,80,Meets
2021-2022,7830210,Pataula Charter Academy,15,15,10,10,15,15,95,Meets
2020-2021,7830625,Yi Hwang Academy of Language Excellence,15,15,15,10,15,15,85,Meets
2022-2023,7820212,Cherokee Charter Academy,15,0,0,10,10,10,55,Does Not Meet
2020-2021,7830621,SLAM Academy of Atlanta,15,15,10,10,15,15,95,Meets
2019-2020,7830615,Genesis Innovation Academy for Boys,15,0,15,10,15,15,85,Meets
2020-2021,7830626,Furlow Charter School,15,15,15,10,15,15,100,Meets
2022-2023,7820412,Georgia Connections Academy,15,15,15,10,15,15,100,Meets
2020-2021,7830623,Academy For Classical Education,15,15,10,10,15,15,95,Meets
2020-2021,7820110,Odyssey Charter School,15,15,15,10,15,15,100,Meets
2022-2023,7820615,Scintilla Charter Academy,15,15,10,10,15,15,95,Meets
2022-2023,7820614,International Charter School of Atlanta,15,15,15,10,15,15,100,Meets
2019-2020,7830310,Fulton Leadership Academy,15,0,15,0,10,0,55,Does Not Meet
2021-2022,7830627,Atlanta SMART Academy,15,15,15,10,15,10,90,Meets
2020-2021,7830614,Liberty Tech Charter Academy,15,15,15,10,15,15,100,Meets
2020-2021,7830610,Coweta Charter Academy,15,15,10,10,15,0,80,Meets
2020-2021,7820121,Utopian Academy for the Arts Charter School,15,15,10,10,15,15,95,Meets
2021-2022,7830616,Genesis Innovation Academy for Girls,15,0,15,10,15,15,85,Meets
2020-2021,7820617,Dubois Integrity Academy,15,15,0,10,15,15,85,Meets
2022-2023,7820121,Utopian Academy for the Arts Charter School,15,10,15,10,15,15,80,Meets
2022-2023,7830633,Delta STEAM Academy,15,0,15,10,15,15,85,Meets
2022-2023,7820110,Odyssey Charter School,15,10,15,10,15,15,95,Meets
2021-2022,7820614,International Charter School of Atlanta,15,10,15,10,15,15,95,Meets
2019-2020,7830620,International Charter Academy of Georgia,15,15,10,10,15,15,95,Meets
2020-2021,7830620,International Charter Academy of Georgia,15,15,10,10,15,15,95,Meets
2022-2023,7830410,Atlanta Heights Charter School,15,0,15,10,10,10,75,Approaches
2020-2021,7830611,Cirrus Charter Academy,15,15,0,10,15,15,85,Meets
2021-2022,7830628,Ethos Classical Charter School,15,15,15,10,15,15,95,Meets
2020-2021,7820612,Ivy Preparatory Academy,15,15,0,10,10,0,65,Does Not Meet
2021-2022,7830632,Atlanta Unbound Academy,15,10,15,10,15,15,95,Meets
2019-2020,7830616,Genesis Innovation Academy for Girls,15,10,15,10,15,15,95,Meets
2019-2020,7830610,Coweta Charter Academy,15,10,10,10,10,0,70,Approaches
2022-2023,7830612,Southwest Georgia STEM Charter Academy,15,0,15,10,15,15,85,Meets
2022-2023,7820617,DuBois Integrity Academy,15,15,15,10,15,15,95,Meets
2021-2022,7830621,SLAM Academy of Atlanta,15,0,0,10,10,10,45,Does Not Meet
2021-2022,7830625,Yi Hwang Academy of Language Excellence,15,10,15,10,15,15,95,Meets
2022-2023,7830642,Destination Career Aademy of Georgia,15,10,15,10,15,15,95,Meets
2020-2021,7820614,International Charter School of Atlanta,15,15,10,10,15,15,95,Meets
2019-2020,7830617,Resurgence Hall Charter School,15,10,10,10,15,15,90,Meets
2022-2023,7830630,Baconton Community Charter School,15,15,15,10,15,15,100,Meets
2020-2021,7830612,Southwest Georgia S.T.E.M. Charter Academy,15,15,15,10,15,15,100,Meets
2021-2022,7830614,Liberty Tech Charter Academy,15,10,15,10,15,15,95,Meets
2022-2023,7830623,Academy for Classical Education,15,15,10,10,15,15,95,Meets
2020-2021,7830615,Genesis Innovation Academy for Boys,15,15,0,10,15,15,85,Meets
2021-2022,7830624,Spring Creek Charter Academy,15,10,10,10,15,15,90,Meets
2020-2021,7830624,Spring Creek Charter Academy,15,15,15,10,15,15,100,Meets
2022-2023,7830620,International Charter Academy of Georgia,15,15,10,10,15,15,95,Meets
2020-2021,7830618,SAIL Charter Academy - School for Arts-Infused Learning,15,15,10,10,15,10,90,Meets
2019-2020,7830618,SAIL Charter Academy - School for Arts-Infused Learning,15,15,10,10,10,0,75,Approaches
2022-2023,7830614,Liberty Tech Charter School,15,15,15,10,15,15,100,Meets
2020-2021,7830630,Baconton Community Charter School,15,15,15,10,15,15,100,Meets
2022-2023,7830643,Amana Academy West Atlanta,15,0,15,10,15,15,85,Meets
2019-2020,7830612,Southwest Georgia S.T.E.M. Charter Academy,15,15,15,10,15,15,95,Meets
2019-2020,7820121,Utopian Academy for the Arts Charter School,15,0,15,10,10,15,80,Meets
2019-2020,7820412,Georgia Connections Academy,15,10,15,10,15,15,95,Meets
2020-2021,7830410,Atlanta Heights Charter School,0,15,15,10,10,0,65,Does Not Meet
2019-2020,7820110,Odyssey Charter School,15,10,10,10,15,15,90,Meets
2022-2023,7830615,Genesis Innovation Academy for Boys,15,0,15,10,15,15,85,Meets
2021-2022,7830410,Atlanta Heights Charter School,0,10,15,10,10,0,60,Does Not Meet
2019-2020,7830210,Pataula Charter Academy,15,10,10,10,15,15,90,Meets
2022-2023,7830625,Yi Hwang Academy of Language Excellence,15,15,15,10,15,15,100,Meets
2021-2022,7830612,Southwest Georgia S.T.E.M. Charter Academy,15,10,15,10,15,15,95,Meets
2021-2022,7830626,Furlow Charter School,15,15,15,10,15,15,100,Meets
2022-2023,7830626,Furlow Charter School,15,15,15,10,15,15,100,Meets
2022-2023,7820616,Georgia School for Innovation and the Classics,15,15,15,10,15,15,100,Meets
2021-2022,7830613,Brookhaven Innovation Academy,15,15,10,10,15,15,95,Meets
2020-2021,7830617,Resurgence Hall Charter School,15,15,10,10,15,15,95,Meets
2021-2022,7820615,Scintilla Charter Academy,15,15,10,10,15,15,95,Meets
2021-2022,7830633,D.E.L.T.A. STEAM Academy,15,0,15,10,15,15,85,Meets
2022-2023,7830632,Atlanta Unbound Academy,15,0,15,10,15,15,85,Meets
2022-2023,7830628,Ethos Classical Charter School,15,15,15,10,15,15,100,Meets
2021-2022,7820110,Odyssey Charter School,15,10,15,10,15,15,95,Meets
2021-2022,7830310,Fulton Leadership Academy,15,0,10,10,15,0,60,Does Not Meet
2019-2020,7830619,International Academy of Smyrna,15,10,0,0,10,0,50,Does Not Meet
2022-2023,7820612,Ivy Preparatory Academy at Kirkwood,15,0,10,10,15,0,65,Does Not Meet
2021-2022,7830615,Genesis Innovation Academy for Boys,15,0,15,10,15,15,85,Meets
2022-2023,7830103,Statesboro STEAM Academy,15,10,15,10,15,15,95,Meets
2020-2021,7830628,Ethos Classical Charter School,15,15,15,10,15,15,85,Meets
2019-2020,7830611,Cirrus Charter Academy,15,0,15,0,15,15,75,Approaches
2019-2020,7820615,Scintilla Charter Academy,15,15,10,10,15,0,80,Meets
2021-2022,7830610,Coweta Charter Academy,15,10,10,10,15,0,75,Approaches
2021-2022,7820120,Georgia Cyber Academy,15,15,15,10,15,15,100,Meets
2022-2023,7830618,SAIL Charter Academy - School for Arts-Infused Learning,15,15,10,10,15,15,95,Meets
2020-2021,7830613,Brookhaven Innovation Academy,15,15,10,10,15,15,95,Meets
2019-2020,7830630,Baconton Community Charter School,15,10,15,10,15,15,95,Meets
2019-2020,7820120,Georgia Cyber Academy,15,0,15,10,15,15,85,Meets
2019-2020,7820616,Georgia School for Innovation and the Classics,15,0,15,10,15,15,85,Meets
2022-2023,7830621,SLAM Academy of Atlanta,15,0,10,10,10,0,60,Does Not Meet
2019-2020,7830410,Atlanta Heights Charter School,15,10,15,10,10,10,85,Meets
2021-2022,7830630,Baconton Community Charter School,15,10,15,10,15,15,95,Meets
2020-2021,7830633,D.E.L.T.A. STEAM Academy,15,15,15,10,15,15,100,Meets
2022-2023,7830641,Resurgence Hall Middle Academy,15,10,15,10,15,15,95,Meets
2021-2022,7830103,Statesboro STEAM Academy,15,15,15,10,15,15,100,Meets
2022-2023,7820120,Georgia Cyber Academy,15,0,15,10,15,15,80,Meets
2022-2023,7830627,Atlanta SMART Academy,15,10,15,10,15,15,90,Meets
2022-2023,7830636,Northwest Classical Academy,15,15,15,10,15,15,100,Meets
2021-2022,7820616,Georgia School for Innovation and the Classics,15,10,15,10,15,15,95,Meets
2019-2020,7830614,Liberty Tech Charter Academy,15,10,15,10,15,15,95,Meets
2022-2023,7830210,Pataula Charter Academy,15,10,10,10,15,15,90,Meets
2021-2022,7830623,Academy For Classical Education,15,15,10,10,15,15,95,Meets
2021-2022,7830619,International Academy of Smyrna,15,10,10,10,15,0,75,Approaches
2022-2023,7830637,DeKalb Brilliance Academy,15,0,15,10,15,15,85,Meets
2020-2021,7820616,Georgia School for Innovation and the Classics,15,15,15,10,15,15,100,Meets
2020-2021,7820615,Scintilla Charter Academy,15,15,10,10,15,15,95,Meets
2022-2023,7830613,Brookhaven Innovation Academy,15,10,10,10,15,15,90,Meets
2021-2022,7830617,Resurgence Hall Charter School,15,10,0,10,15,15,80,Meets
2020-2021,7830103,Statesboro STEAM Academy,15,15,0,10,15,15,85,Meets
2019-2020,7820612,Ivy Preparatory Academy,15,0,10,0,10,0,50,Does Not Meet
2020-2021,7830310,Fulton Leadership Academy,15,15,10,10,15,15,95,Meets
2022-2023,7830619,International Academy of Smyrna,15,0,0,10,10,0,50,Does Not Meet
2022-2023,7830617,Resurgence Hall Charter School,15,15,10,10,15,15,95,Meets
2021-2022,7820612,Ivy Preparatory Academy,15,0,0,10,10,0,50,Does Not Meet
2022-2023,7830610,Coweta Charter Academy,15,10,10,10,15,0,75,Approaches
2021-2022,7830634,Georgia Fugees Academy Charter School,15,10,15,10,15,15,80,Meets
2019-2020,7830624,Spring Creek Charter Academy,0,10,15,10,15,15,80,Meets
2019-2020,7830628,Ethos Classical Charter School,15,0,15,10,15,15,85,Meets
2020-2021,7830634,Georgia Fugees Academy Charter School,15,15,15,10,15,15,100,Meets
2020-2021,7820412,Georgia Connections Academy,15,15,15,10,15,15,100,Meets
2021-2022,7830611,Cirrus Charter Academy,15,15,10,10,15,15,95,Meets
2020-2021,7830616,Genesis Innovation Academy for Girls,15,15,0,10,15,15,85,Meets
2019-2020,7830613,Brookhaven Innovation Academy,15,0,0,10,10,0,50,Does Not Meet
2021-2022,7820412,Georgia Connections Academy,15,15,15,10,15,15,100,Meets
2022-2023,7830616,Genesis Innovation Academy for Girls,15,0,15,10,15,15,85,Meets
2022-2023,7830624,Spring Creek Charter Academy,15,10,10,10,15,15,90,Meets
2022-2023,7830634,Georgia Fugees Academy Charter School,0,0,15,10,10,0,45,Does Not Meet
2021-2022,7820617,Dubois Integrity Academy,15,15,0,10,15,15,85,Meets
